Word,Variable,Factor,Definition,Deduced
cheerful,perky,1.0,cheerful and lively.,Yes
plaintive,mournful,1,"sounding sorrowful, mournful or melancholic.",
mournful,plaintive,1.0,"sounding sorrowful, mournful or melancholic.",Yes
plaintive,mourning,1,"sounding sorrowful, mournful or melancholic.",
mourning,plaintive,1.0,"sounding sorrowful, mournful or melancholic.",Yes
plaintive,sad,1,sounding sad and mournful.,
sad,plaintive,1.0,sounding sad and mournful.,Yes
plaintive,mournful,1,sounding sad and mournful.,
mournful,plaintive,1.0,sounding sad and mournful.,Yes
plaintive,mourning,1,sounding sad and mournful.,
mourning,plaintive,1.0,sounding sad and mournful.,Yes
pleased,happy,1,"happy, content",
happy,pleased,1.0,"happy, content",Yes
pleased,content,1,"happy, content",
content,pleased,1.0,"happy, content",Yes
pleased,contented,1,"happy, content",
contented,pleased,1.0,"happy, content",Yes
prideful.02,joyful,1,joyful and proud especially because of triumph or success,
joyful,prideful.02,1.0,joyful and proud especially because of triumph or success,Yes
rebellious.02,discontent,1,discontented as toward authority,
discontent,rebellious.02,1.0,discontented as toward authority,Yes
rebellious.02,discontented,1,discontented as toward authority,
discontented,rebellious.02,1.0,discontented as toward authority,Yes
rejoicing,joyful,1,joyful and proud especially because of triumph or success,
joyful,rejoicing,1.0,joyful and proud especially because of triumph or success,Yes
rejoicing,high_prop,1.0,great joy,
high_prop,rejoicing,1.0,great joy,Yes
restless,satisfied,-1,not satisfied to be at rest or in peace,
satisfied,restless,-1.0,not satisfied to be at rest or in peace,Yes
restless,discontent,1,discontented.,
discontent,restless,1.0,discontented.,Yes
restless,discontented,1,discontented.,
discontented,restless,1.0,discontented.,Yes
rhapsodic,rapturous,1,rapturous,
rapturous,rhapsodic,1.0,rapturous,Yes
rhapsodic,ecstatic,1,see rhapsody: (noun) an effusively enthusiastic or ecstatic expression of feeling.,
ecstatic,rhapsodic,1.0,see rhapsody: (noun) an effusively enthusiastic or ecstatic expression of feeling.,Yes
riant,high_prop,1,showing or feeling mirth or pleasure or happiness,
high_prop,riant,1.0,showing or feeling mirth or pleasure or happiness,Yes
riant,mirthful,1,"when said of a person or a person's manner: mirthful, cheerful, smiling, light-hearted.",
mirthful,riant,1.0,"when said of a person or a person's manner: mirthful, cheerful, smiling, light-hearted.",Yes
riant,cheerful,1,"when said of a person or a person's manner: mirthful, cheerful, smiling, light-hearted.",
cheerful,riant,1.0,"when said of a person or a person's manner: mirthful, cheerful, smiling, light-hearted.",Yes
riant,mirthful,1,"of a person or a person's disposition, actions, etc.: smiling, mirthful, cheerful, light-hearted.",
mirthful,riant,1.0,"of a person or a person's disposition, actions, etc.: smiling, mirthful, cheerful, light-hearted.",Yes
riant,cheerful,1,"of a person or a person's disposition, actions, etc.: smiling, mirthful, cheerful, light-hearted.",
cheerful,riant,1.0,"of a person or a person's disposition, actions, etc.: smiling, mirthful, cheerful, light-hearted.",Yes
sad,mournful,1,"sorrowful, mournful.",
mournful,sad,1.0,"sorrowful, mournful.",Yes
sad,mourning,1,"sorrowful, mournful.",
mourning,sad,1.0,"sorrowful, mournful.",Yes
sad,unhappy,1,unhappy.,
unhappy,sad,1.0,unhappy.,Yes
sad,mournful,1,"sorrowful, mournful.",
mournful,sad,1.0,"sorrowful, mournful.",Yes
sad,mourning,1,"sorrowful, mournful.",
mourning,sad,1.0,"sorrowful, mournful.",Yes
sad,unhappy,1,unhappy.,
unhappy,sad,1.0,unhappy.,Yes
sad.02,sad,1,of things that make you feel sad,
sad,sad.02,1.0,of things that make you feel sad,Yes
satisfied,content,1,contented,
content,satisfied,1.0,contented,Yes
satisfied,contented,1,contented,
contented,satisfied,1.0,contented,Yes
satisfied,pleased,1,pleased.,
pleased,satisfied,1.0,pleased.,Yes
self-complacent,content,1,contented to a fault with oneself or one's actions,
content,self-complacent,1.0,contented to a fault with oneself or one's actions,Yes
self-complacent,contented,1,contented to a fault with oneself or one's actions,
contented,self-complacent,1.0,contented to a fault with oneself or one's actions,Yes
self-complacent,satisfied,1,complacently self-satisfied,
satisfied,self-complacent,1.0,complacently self-satisfied,Yes
self-complacent,smug,1,showing smug or uncritical satisfaction with oneself or one's achievements.,
smug,self-complacent,1.0,showing smug or uncritical satisfaction with oneself or one's achievements.,Yes
self-satisfied,satisfied,1,satisfied with oneself,
satisfied,self-satisfied,1.0,satisfied with oneself,Yes
self-satisfied,satisfied,1,especially too satisfied,
satisfied,self-satisfied,1.0,especially too satisfied,Yes
self-satisfied,smug,1,smug,
smug,self-satisfied,1.0,smug,Yes
self-satisfied,satisfied,1.4,excessively satisfied with oneself or one's achievements,
satisfied,self-satisfied,0.7142857142857143,excessively satisfied with oneself or one's achievements,Yes
self-satisfied.02,content,1,contented to a fault with oneself or one's actions,
content,self-satisfied.02,1.0,contented to a fault with oneself or one's actions,Yes
self-satisfied.02,contented,1,contented to a fault with oneself or one's actions,
contented,self-satisfied.02,1.0,contented to a fault with oneself or one's actions,Yes
self-satisfied.02,satisfied,1,satisfied with oneself,
satisfied,self-satisfied.02,1.0,satisfied with oneself,Yes
self-satisfied.02,satisfied,1,especially too satisfied,
satisfied,self-satisfied.02,1.0,especially too satisfied,Yes
self-satisfied.02,smug,1,smug,
smug,self-satisfied.02,1.0,smug,Yes
self-satisfied.02,satisfied,1.4,excessively satisfied with oneself or one's achievements,
satisfied,self-satisfied.02,0.7142857142857143,excessively satisfied with oneself or one's achievements,Yes
sepulchral.03,dismal,1,dismal.,
dismal,sepulchral.03,1.0,dismal.,Yes
smiling,high_prop,1,smiling with happiness or optimism,
high_prop,smiling,1.0,smiling with happiness or optimism,Yes
smug,pleased,1,"irritatingly pleased with oneself, offensively self-complacent. self-satisfied.",
pleased,smug,1.0,"irritatingly pleased with oneself, offensively self-complacent. self-satisfied.",Yes
smug,satisfied,1,"irritatingly pleased with oneself, offensively self-complacent. self-satisfied.",
satisfied,smug,1.0,"irritatingly pleased with oneself, offensively self-complacent. self-satisfied.",Yes
somber.02,joyless,1,"joyless, and grim.",
joyless,somber.02,1.0,"joyless, and grim.",Yes
sombre.02,joyless,1,"joyless, and grim.",
joyless,sombre.02,1.0,"joyless, and grim.",Yes
sorrowful,sad,1,sad,
sad,sorrowful,1.0,sad,Yes
sorrowful,dejected,1,dejected,
dejected,sorrowful,1.0,dejected,Yes
sorrowful,sad,1,sad,
sad,sorrowful,1.0,sad,Yes
sorrowful,dejected,1,dejected,
dejected,sorrowful,1.0,dejected,Yes
sorry.04,sad,1,"poor, sad or regrettable.",
sad,sorry.04,1.0,"poor, sad or regrettable.",Yes
sorry.04,sad,1,feeling sad or distressed through sympathy with someone else's misfortune.,
sad,sorry.04,1.0,feeling sad or distressed through sympathy with someone else's misfortune.,Yes
suffering.02,unhappy,1.4,very unhappy,
unhappy,suffering.02,0.7142857142857143,very unhappy,Yes
sunny,cheerful,1,cheerful.,
cheerful,sunny,1.0,cheerful.,Yes
tragic,sad,1.4,very sad,
sad,tragic,0.7142857142857143,very sad,Yes
triumphal.02,joyful,1,joyful and proud especially because of triumph or success,
joyful,triumphal.02,1.0,joyful and proud especially because of triumph or success,Yes
triumphant,joyful,1,joyful and proud especially because of triumph or success,
joyful,triumphant,1.0,joyful and proud especially because of triumph or success,Yes
twinkly,high_prop,1,smiling with happiness or optimism,
high_prop,twinkly,1.0,smiling with happiness or optimism,Yes
uncheerful,sad,1,causing sad feelings of gloom and inadequacy,
sad,uncheerful,1.0,causing sad feelings of gloom and inadequacy,Yes
uncheerful,cheerful,-1,not cheerful.,
cheerful,uncheerful,-1.0,not cheerful.,Yes
unhappy,happy,-1,not happy,
happy,unhappy,-1.0,not happy,Yes
unhappy,sad,1,sad.,
sad,unhappy,1.0,sad.,Yes
unhappy,happy,-1,not happy.,
happy,unhappy,-1.0,not happy.,Yes
unhappy,happy,-1,not happy,
happy,unhappy,-1.0,not happy,Yes
unhappy,sad,1,sad.,
sad,unhappy,1.0,sad.,Yes
unhappy,happy,-1,not happy.,
happy,unhappy,-1.0,not happy.,Yes
unhappy.02,satisfied,-1,not satisfied,
satisfied,unhappy.02,-1.0,not satisfied,Yes
unhappy.02,satisfied,-1,not satisfied or pleased with (a situation),
satisfied,unhappy.02,-1.0,not satisfied or pleased with (a situation),Yes
unhappy.02,pleased,1,not satisfied or pleased with (a situation),
pleased,unhappy.02,1.0,not satisfied or pleased with (a situation),Yes
unsatisfied.02,satisfied,-1,"not satisfied, especially with the quantity of something",
satisfied,unsatisfied.02,-1.0,"not satisfied, especially with the quantity of something",Yes
unsatisfied.02,satisfied,-1,not satisfied.,
satisfied,unsatisfied.02,-1.0,not satisfied.,Yes
uplifted,joyous,1,"joyous, hopeful or inspired.",
joyous,uplifted,1.0,"joyous, hopeful or inspired.",Yes
wailful,mournful,1,mournful.,
mournful,wailful,1.0,mournful.,Yes
wailful,mourning,1,mournful.,
mourning,wailful,1.0,mournful.,Yes
wistful,sad,1,sad and thoughtful.,
sad,wistful,1.0,sad and thoughtful.,Yes
woebegone.02,sad,1,sad or miserable in appearance.,
sad,woebegone.02,1.0,sad or miserable in appearance.,Yes
woebegone.02,miserable,1,sad or miserable in appearance.,
miserable,woebegone.02,1.0,sad or miserable in appearance.,Yes
wretched.03,unhappy,1.4,very unhappy,
unhappy,wretched.03,0.7142857142857143,very unhappy,Yes
wretched.03,miserable,1.4,very miserable,
miserable,wretched.03,0.7142857142857143,very miserable,Yes
wretched.03,woeful,1,woeful,
woeful,wretched.03,1.0,woeful,Yes
wretched.03,unhappy,1.4,(of a person) in a very unhappy or unfortunate state.,
unhappy,wretched.03,0.7142857142857143,(of a person) in a very unhappy or unfortunate state.,Yes
